"id","uniprot","main_gene","Protein.names","Gene.names","up_low_log2_rep1","up_low_log2_rep2","up_low_log2_rep3","down_high_log2_rep1","down_high_log2_rep2","down_high_log2_rep3","log2_avg_upfc","log2_avg_downfc","qVal","directionfc"
3910,"Q7Z4H3","HDDC2","HD domain-containing protein 2","HDDC2",0.046700021,-0.283223228,-0.374116341,0.162155899,-0.038989689,-0.009788149,-0.191968963,0.040557072,0.845983621,"OTHER"
3911,"Q7Z4H8","KDELC2","KDEL motif-containing protein 2","KDELC2",-0.178183863,-0.323792934,-0.127487233,-0.067878362,-0.209549511,-0.15811666,-0.207446713,-0.143988281,1,"OTHER"
3912,"Q7Z4I7","LIMS2","LIM and senescent cell antigen-like-containing domain protein 2","LIMS2",-0.280641715,-0.471088959,-0.535633302,0.094539707,-0.219888918,-0.281894191,-0.425010195,-0.126125589,0.608851134,"OTHER"
3914,"Q7Z4Q2","HEATR3","HEAT repeat-containing protein 3","HEATR3",-0.590736045,0.01507866,0.06273991,-0.242501366,-0.368084696,-0.206103536,-0.14190861,-0.270576716,1,"OTHER"
3915,"Q7Z4R8","C6orf120","UPF0669 protein C6orf120","C6orf120",-0.221061065,0.140816271,0.173801149,-0.09774739,-0.647110825,-0.050505802,0.041938976,-0.240902973,0.598083748,"OTHER"
3917,"Q7Z4V5","HDGFRP2","Hepatoma-derived growth factor-related protein 2","HDGFRP2",0.32932275,0.198676393,-0.103563915,-0.176576127,-0.015964781,0.313496974,0.152637453,0.054969633,1,"OTHER"
3918,"Q7Z4W1","DCXR","L-xylulose reductase","DCXR",0.029237112,0.065272061,0.113997675,0.008425381,-0.016127152,-0.018072024,0.069920944,-0.008540772,1,"OTHER"
3919,"Q7Z569","BRAP","BRCA1-associated protein","BRAP",0.086438968,0.05342854,0.046441324,0.256363176,0.111839832,-0.029714031,0.062208655,0.117554852,1,"OTHER"
3922,"Q7Z5G4","GOLGA7","Golgin subfamily A member 7","GOLGA7",-0.193867564,-0.130545156,-0.002186792,-0.279219481,0.06998565,-0.066019257,-0.10664791,-0.084663623,1,"OTHER"
3923,"Q7Z5H3","ARHGAP22","Rho GTPase-activating protein 22","ARHGAP22",0.180523784,0.180958489,0.114160044,-0.035947301,0.086089941,0.000733177,0.158887096,0.017869092,1,"OTHER"
3925,"Q7Z5K2","WAPAL","Wings apart-like protein homolog","WAPAL",-0.108531873,-0.474561822,-0.105323595,-0.210663057,0.208276157,-0.068697525,-0.219374535,-0.013069568,0.975077393,"OTHER"
