"id","uniprot","main_gene","Protein.names","Gene.names","up_low_log2_rep1","up_low_log2_rep2","up_low_log2_rep3","down_high_log2_rep1","down_high_log2_rep2","down_high_log2_rep3","log2_avg_upfc","log2_avg_downfc","qVal","directionfc"
2326,"Q3UQ28","Pxdn","Peroxidasin homolog","Pxdn",-0.036583627,-0.103985619,-0.084380343,-0.027622285,0.183149265,-0.015153218,-0.074704654,0.050070683,1,"OTHER"
2328,"Q3UQ84","Tars2","Threonine--tRNA ligase, mitochondrial","Tars2",-0.200303427,0.118335166,-0.025501484,0.121558901,-0.237139793,-0.237976581,-0.029967032,-0.107663803,1,"OTHER"
2330,"Q3UQN2","Fcho2","F-BAR domain only protein 2","Fcho2",-0.158383902,-0.196259065,0.061124768,0.014512586,-0.036176881,-0.348651608,-0.093305421,-0.114730867,1,"OTHER"
2331,"Q3UQU0","Brd9","Bromodomain-containing protein 9","Brd9",0.347165181,-0.171316464,-0.566583182,0.425939643,0.279561915,-0.805989203,-0.081458734,0.060851299,1,"OTHER"
2332,"Q3UR70","Tgfbrap1","Transforming growth factor-beta receptor-associated protein 1","Tgfbrap1",0.110844547,-0.22580435,-0.239001679,-0.044235817,0.258852458,-0.046226941,-0.108679443,0.063408969,1,"OTHER"
2333,"Q3UR85","Myrf","Myelin regulatory factor;Myelin regulatory factor, N-terminal;Myelin regulatory factor, C-terminal","Myrf",0.175850832,-0.480784124,-0.786370718,-0.11196126,0.005297587,-0.785225735,-0.306371488,-0.257695252,1,"OTHER"
2334,"Q3UR97","Snx21","","Snx21",-0.411202619,-0.259152202,0.278874524,0.301942738,0.329987099,0.030380205,-0.09911164,0.226955147,0.691878294,"OTHER"
2335,"Q3URD3","Slmap","Sarcolemmal membrane-associated protein","Slmap",0.030520122,0.017542842,-0.093743074,-0.083844152,-0.152722237,-0.025824545,-0.014158315,-0.086532543,1,"OTHER"
2336,"Q3URE1","Acsf3","Acyl-CoA synthetase family member 3, mitochondrial","Acsf3",-0.05436798,0.155416784,-0.094092201,0.091257219,-0.051459649,0.193711121,0.006535552,0.081321262,1,"OTHER"
2337,"Q3URQ0","Tex10","Testis-expressed sequence 10 protein","Tex10",0.067792236,0.243465182,0.022861918,0.040934184,0.0549758,0.086570391,0.114552308,0.06095326,1,"OTHER"
2338,"Q3URS9","Ccdc51","Coiled-coil domain-containing protein 51","Ccdc51",-0.007064001,0.197552891,-0.276107699,-0.079044629,0.07961182,-0.302141834,-0.015625425,-0.092101571,1,"OTHER"
2339,"Q3URU2","Peg3","Paternally-expressed gene 3 protein","Peg3",-0.450903847,-0.583207341,-0.728745091,0.388653043,0.031710929,-0.01850218,-0.583166632,0.145634584,0.015969244,"INV"
2341,"Q3USB7","Plcl1","Inactive phospholipase C-like protein 1","Plcl1",-0.106296861,0.03127604,-0.101888,0.04175832,-0.002260711,-0.023691782,-0.057542866,0.005526496,1,"OTHER"
2343,"Q3USJ8","Fchsd2","F-BAR and double SH3 domains protein 2","Fchsd2",-0.020909,0.296134601,0.027898247,0.270161503,-0.18107249,-0.077145174,0.107905434,0.017171957,1,"OTHER"
